wallet,in_our_list,events,total_usd
0x5673419f9011337bd0d68d8c17f9511343d74d8c,False,2,25000.0
0x88c780c9cc3fb66bf21753c659c4890cc7919270,False,1,25000.0
0x048991621523fd86eebffbf091086b65748efad5,False,1,5000.25
0xcb881378b8719d4584397d7f84eb9c99e28ea802,False,1,5000.0
0x06f223e0ac589204b07922c85ca1addad825379b,False,2,2200.7
0xe7a1602a273dcf45369e1f3bcf3dfba8d1fe3cb6,False,2,1090.0
0x6374183cb664b87301d6ae8c5f8159874114cb3a,True,2,1000.0
0xb6513dd5394620635df652605b280a40c7aa8ae8,True,1,850.0
0x0e481a35e19a6b03c1f7b3da6b3eaec94d76453e,True,1,725.0
0x3772f43d99c8e9502ce7d11d80f6b6e0976a7784,True,1,725.0
0xb3f8a3c3f4a225e5d24c37c9e7a946b5368ed9f2,True,1,700.0
0xb9f3880d2c68903427b83c60da9e380769879659,True,1,675.0
0x9623e4f5e9113f264d0db542ec881edd6bf55ce6,True,1,650.0
0xecaf89f8c3f81860d27fa3e69a91f49efe21b552,True,1,650.0
0x5b7bd5305f7ec4bed2b9321117c54ed4c4c179e9,True,1,650.0
0x688a3392bee42116c4591f665bcdbf7ba6dbe681,True,1,650.0
0xe7f4b06471558d206b612ceaae7e3fe6e07d5ef2,True,1,630.0
0x36c65d59e12bcefce38149f9e580cf7e296fcb82,True,1,625.0
0x058c30396082de8639936ad5aecf4b560ee21360,True,1,625.0
0x98cb2f3bec4ed5b32ee7ee5b8da5e5387924410c,True,1,625.0
0x23fd7fcd38e76087f08287f3b01ec2156e84a375,True,1,610.0
0x21ef3961faaa3fd01e905d6e42fb7f91c6c73c0d,True,1,600.0
0x66a146bc5c1906ce0d0b0004bcff92d226cf0dd7,True,1,600.0
0x7009c18f67b87e115da2f656a7807a350498c06d,True,1,600.0
0x33b32931cf412933be6b52822b392a10e61324e8,True,1,600.0
0x6c7fb80072c040aa1a2557e55d7e1f82bfefd2aa,True,1,600.0
0x19c558d0629bc3fe024651eb12bf1e2bed030001,True,1,599.0
0xbc4ec24359f5cbcdb8bc0d8ecf831c1bd2cadd56,True,1,596.8
0x6db096d6d418fdcd97f12a73374c07183f2bb758,True,1,580.0
0xf78c369a3530d18098024ecaa5eb7e07abacb537,True,1,580.0
0x4874f3f369a2cc74b0a9175ce42510ab4bd6a54b,True,1,575.0
0x53281d53502d405aa470a6515d766770d4e8038b,True,1,575.0
0x5ad7f9e4582060bd54c4e096ca41e13f891b4fb1,True,1,575.0
0x06afab5c8dc84064ee78a64a3198916ba05985da,True,1,573.8
0xcc7efef5a78b668ce57b1bf3c6c8287a0f1bd5cc,True,1,559.0
0xfb82195cdb0956924ab2ad09ddb833cc47dc8591,True,1,555.0
0x7621bc7bc2ee50d542f05550d393438bbd7e0019,True,1,550.0
0xa99b9c35f48e54d6d5c3c0b1790e0e04b9b78b9f,True,1,550.0
0x184863196c4c1deb1e8ea7867a2bb7181a16ce78,True,1,550.0
0x8b6b802ff90036e923fe53b35ef19e43b2792c80,True,1,550.0
0xdc014fdd213dab38391c365e7ad0c64ae2f71794,True,1,550.0
0x86a8413803beb8b74630ee94b58580b6edb18d8f,True,1,550.0
0xd34c12f142a9ed71c1c7cff106445155d4ad5d32,True,1,550.0
