wallet,lock_months,events,total_usd,group
0x6374183cb664b87301d6ae8c5f8159874114cb3a,12,2,1000.0,BIZDE_VAR
0xb6513dd5394620635df652605b280a40c7aa8ae8,11,1,850.0,BIZDE_VAR
0x0e481a35e19a6b03c1f7b3da6b3eaec94d76453e,12,1,725.0,BIZDE_VAR
0x3772f43d99c8e9502ce7d11d80f6b6e0976a7784,12,1,725.0,BIZDE_VAR
0x73fa4698f6bcef321d0d174bae4a3ea67f2af72c,12,1,700.0,BIZDE_VAR
0xb3f8a3c3f4a225e5d24c37c9e7a946b5368ed9f2,12,1,700.0,BIZDE_VAR
0xb9f3880d2c68903427b83c60da9e380769879659,11,1,675.0,BIZDE_VAR
0x5b7bd5305f7ec4bed2b9321117c54ed4c4c179e9,12,1,650.0,BIZDE_VAR
0x688a3392bee42116c4591f665bcdbf7ba6dbe681,10,1,650.0,BIZDE_VAR
0x9623e4f5e9113f264d0db542ec881edd6bf55ce6,12,1,650.0,BIZDE_VAR
0xecaf89f8c3f81860d27fa3e69a91f49efe21b552,7,1,650.0,BIZDE_VAR
0xe7f4b06471558d206b612ceaae7e3fe6e07d5ef2,12,1,630.0,BIZDE_VAR
0x058c30396082de8639936ad5aecf4b560ee21360,12,1,625.0,BIZDE_VAR
0x36c65d59e12bcefce38149f9e580cf7e296fcb82,10,1,625.0,BIZDE_VAR
0x98cb2f3bec4ed5b32ee7ee5b8da5e5387924410c,12,1,625.0,BIZDE_VAR
0x23fd7fcd38e76087f08287f3b01ec2156e84a375,11,1,610.0,BIZDE_VAR
0x90153e85c7df063630373fe605b0b596ca2b2fa7,11,1,610.0,BIZDE_VAR
0x21ef3961faaa3fd01e905d6e42fb7f91c6c73c0d,12,1,600.0,BIZDE_VAR
0x33b32931cf412933be6b52822b392a10e61324e8,6,1,600.0,BIZDE_VAR
0x66a146bc5c1906ce0d0b0004bcff92d226cf0dd7,7,1,600.0,BIZDE_VAR
0x6c7fb80072c040aa1a2557e55d7e1f82bfefd2aa,8,1,600.0,BIZDE_VAR
0x7009c18f67b87e115da2f656a7807a350498c06d,12,1,600.0,BIZDE_VAR
0x19c558d0629bc3fe024651eb12bf1e2bed030001,12,1,599.0,BIZDE_VAR
0xbc4ec24359f5cbcdb8bc0d8ecf831c1bd2cadd56,11,1,596.8,BIZDE_VAR
0xf78c369a3530d18098024ecaa5eb7e07abacb537,8,1,580.0,BIZDE_VAR
0x6db096d6d418fdcd97f12a73374c07183f2bb758,12,1,580.0,BIZDE_VAR
0x4874f3f369a2cc74b0a9175ce42510ab4bd6a54b,7,1,575.0,BIZDE_VAR
0x53281d53502d405aa470a6515d766770d4e8038b,6,1,575.0,BIZDE_VAR
0x5ad7f9e4582060bd54c4e096ca41e13f891b4fb1,11,1,575.0,BIZDE_VAR
0x6498135b360336b60b8e0fb917c5cf94b9e67b20,9,1,575.0,BIZDE_VAR
0x06afab5c8dc84064ee78a64a3198916ba05985da,11,1,573.8,BIZDE_VAR
0xcc7efef5a78b668ce57b1bf3c6c8287a0f1bd5cc,8,1,559.0,BIZDE_VAR
0xfb82195cdb0956924ab2ad09ddb833cc47dc8591,12,1,555.0,BIZDE_VAR
0x8b6b802ff90036e923fe53b35ef19e43b2792c80,8,1,550.0,BIZDE_VAR
0xdc014fdd213dab38391c365e7ad0c64ae2f71794,11,1,550.0,BIZDE_VAR
0xd34c12f142a9ed71c1c7cff106445155d4ad5d32,11,1,550.0,BIZDE_VAR
0xa99b9c35f48e54d6d5c3c0b1790e0e04b9b78b9f,9,1,550.0,BIZDE_VAR
0x3398ec570805f03477a22c6cb7fff1b6d30355ff,9,1,550.0,BIZDE_VAR
0x86a8413803beb8b74630ee94b58580b6edb18d8f,12,1,550.0,BIZDE_VAR
0x7621bc7bc2ee50d542f05550d393438bbd7e0019,7,1,550.0,BIZDE_VAR
0x184863196c4c1deb1e8ea7867a2bb7181a16ce78,11,1,550.0,BIZDE_VAR
0x5c0b928b6a6d7f9f58956a3a2aab14592dd81769,10,1,549.8,BIZDE_VAR
0x0b41a2871148f05d6ba6109e2af8dc8bad30c0ec,9,1,530.0,BIZDE_VAR
0x3e9b1f7e819c6b598b010fb3015874dfc860c3ef,6,1,530.0,BIZDE_VAR
0x42b01362a2dfcfc44d1a8c2dc5f2569ba1410a23,10,1,530.0,BIZDE_VAR
0xfd5f2a4ba2c6a7b7681b6743943287e8f90eef03,6,1,525.0,BIZDE_VAR
0x1af1f65a5590cdaf47bd6e6b22228359c7eacf00,10,1,525.0,BIZDE_VAR
0x0949db0779ead6eb8b3cd473b3cc3b61bad78d28,10,1,524.0,BIZDE_VAR
